site,species,attacks,,
1,evarete,0,,
2,evarete,0,,
3,evarete,1,,
4,evarete,0,,
5,evarete,0,,
6,evarete,0,,
7,evarete,0,,
8,evarete,1,,
9,evarete,2,,
10,evarete,2,,
11,evarete,0,,
12,evarete,0,,
13,evarete,0,,
14,evarete,1,,
15,evarete,0,,
16,evarete,0,,
17,evarete,0,,
18,evarete,0,,
19,evarete,1,,
20,evarete,0,,
21,evarete,0,,
22,evarete,1,,
23,evarete,3,,
24,evarete,1,,
25,evarete,0,,
26,evarete,2,,
27,evarete,2,,
28,evarete,1,,
29,evarete,1,,
30,evarete,0,,
31,evarete,0,,
32,evarete,2,,
33,evarete,1,,
34,evarete,1,,
35,evarete,0,,
36,evarete,0,,
37,evarete,0,,
38,evarete,0,,
39,evarete,0,,
40,evarete,0,,
41,evarete,0,,
42,evarete,0,,
43,evarete,0,,
44,evarete,1,,
45,evarete,0,,
46,evarete,1,,
47,evarete,1,,
48,evarete,0,,
49,evarete,0,,
50,evarete,0,,
51,evarete,0,,
52,evarete,0,,
53,evarete,2,,
54,evarete,0,,
55,evarete,0,,
56,evarete,1,,
57,evarete,1,,
58,evarete,2,,
59,evarete,0,,
60,evarete,1,,
61,evarete,0,,
62,evarete,1,,
63,evarete,0,,
64,evarete,0,,
65,evarete,0,,
66,evarete,0,,
67,evarete,0,,
68,evarete,0,,
69,evarete,0,,
70,evarete,1,,
71,evarete,2,,
72,evarete,0,,
73,evarete,0,,
74,evarete,0,,
75,evarete,1,,
76,evarete,2,,
77,evarete,0,,
78,evarete,1,,
79,evarete,1,,
80,evarete,0,,
81,evarete,1,,
82,evarete,2,,
83,evarete,0,,
84,evarete,0,,
85,evarete,0,,
86,evarete,1,,
87,evarete,0,,
88,evarete,0,,
89,evarete,0,,
90,evarete,1,,
91,evarete,2,,
92,evarete,0,,
93,evarete,1,,
94,evarete,0,,
95,evarete,0,,
96,evarete,1,,
97,evarete,0,,
98,evarete,0,,
99,evarete,1,,
100,evarete,0,,
1,iphiclus,0,,
2,iphiclus,0,,
3,iphiclus,0,,
4,iphiclus,0,,
5,iphiclus,0,,
6,iphiclus,0,,
7,iphiclus,0,,
8,iphiclus,0,,
9,iphiclus,1,,
10,iphiclus,0,,
11,iphiclus,0,,
12,iphiclus,0,,
13,iphiclus,0,,
14,iphiclus,0,,
15,iphiclus,0,,
16,iphiclus,1,,
17,iphiclus,0,,
18,iphiclus,0,,
19,iphiclus,2,,
20,iphiclus,0,,
21,iphiclus,0,,
22,iphiclus,0,,
23,iphiclus,0,,
24,iphiclus,0,,
25,iphiclus,0,,
26,iphiclus,0,,
27,iphiclus,0,,
28,iphiclus,1,,
29,iphiclus,0,,
30,iphiclus,1,,
31,iphiclus,1,,
32,iphiclus,0,,
